GO_term,Descrip,DECount,Expect,N,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0006950,response to stress,264,121.66700610997964,4032,6.078022135726069e-35,1.054536840548473e-31,1.054536840548473e-31,Down,2,2,FALSE,BP,gad1*
GO:0042221,response to chemical,231,98.4831126951799,3281,1.248983939282279e-34,2.166987134654754e-31,1.083493567327377e-31,Down,2,2,FALSE,BP,gad1*
GO:0050896,response to stimulus,364,203.32726578411405,6661,3.09116204969435e-34,5.363166156219698e-31,1.7877220520732325e-31,Down,1,1,FALSE,BP,gad1*
GO:1901700,response to oxygen-containing compound,148,51.72785132382892,1750,1.9294089766681176e-29,3.347524574519184e-26,8.36881143629796e-27,Down,3,3,FALSE,BP,gad1*
GO:0009628,response to abiotic stimulus,165,67.29141208418194,2249,6.940679077205869e-26,1.2042078198952181e-22,2.4084156397904366e-23,Down,2,2,FALSE,BP,gad1*
GO:0009611,response to wounding,43,5.9089867617107945,226,1.1013421046934372e-21,1.9108285516431133e-18,3.1847142527385227e-19,Down,3,3,FALSE,BP,gad1*
GO:0010035,response to inorganic substance,92,28.769984725050918,983,3.663601829906753e-21,6.356349174888217e-18,9.080498821268882e-19,Down,3,3,FALSE,BP,gad1*
GO:0009415,response to water,56,11.656525797691785,417,3.1096863520841535e-20,5.3953058208660065e-17,6.744132276082508e-18,Down,3,4,FALSE,BP,gad1*
GO:0001101,response to acid chemical,58,12.592922606924644,448,3.9007006799069853e-20,6.767715679638619e-17,7.519684088487355e-18,Down,3,3,FALSE,BP,gad1*
GO:0009414,response to water deprivation,55,11.3982094365241,408,5.716341213515975e-20,9.917852005450216e-17,9.917852005450217e-18,Down,3,5,FALSE,BP,gad1*
GO:0033993,response to lipid,86,28.93143245078072,982,5.241326851076067e-18,9.093702086616976e-15,8.267001896924524e-16,Down,4,4,FALSE,BP,gad1*
GO:0071456,cellular response to hypoxia,39,6.554777664630007,242,3.5722219389184266e-17,6.19780506402347e-14,4.5996537816009914e-15,Down,4,6,FALSE,BP,gad1*
GO:0001666,response to hypoxia,41,7.329726748133062,268,3.711536192646333e-17,6.439515294241388e-14,4.5996537816009914e-15,Down,3,5,FALSE,BP,gad1*
GO:0010033,response to organic substance,139,64.15932620502376,2126,4.394175398806943e-17,7.623894316930046e-14,4.8725947032501516e-15,Down,3,3,FALSE,BP,gad1*
GO:0036294,cellular response to decreased oxygen levels,39,6.619356754921928,244,4.774300285605336e-17,8.283410995525257e-14,4.8725947032501516e-15,Down,5,5,FALSE,BP,gad1*
GO:0071453,cellular response to oxygen levels,39,6.619356754921928,244,4.774300285605336e-17,8.283410995525257e-14,4.8725947032501516e-15,Down,4,4,FALSE,BP,gad1*
GO:0036293,response to decreased oxygen levels,41,7.458884928716905,272,6.365709819439119e-17,1.1044506536726871e-13,6.1358369648482615e-15,Down,4,4,FALSE,BP,gad1*
GO:0070482,response to oxygen levels,41,7.4911744738628645,273,7.272910347035161e-17,1.2618499452106004e-13,6.6413155011084226e-15,Down,3,3,FALSE,BP,gad1*
GO:0006970,response to osmotic stress,59,15.98332484725051,554,2.1431065475725306e-16,3.7182898600383405e-13,1.8591449300191703e-14,Down,3,3,FALSE,BP,gad1*
GO:0009719,response to endogenous stimulus,115,49.822768160217244,1658,5.397655755028814e-16,9.364932734974992e-13,4.45949177855952e-14,Down,2,2,FALSE,BP,gad1*
GO:0009725,response to hormone,113,48.88637135098438,1627,1.0146788318708475e-15,1.7604677732959205e-12,8.002126242254183e-14,Down,3,4,FALSE,BP,gad1*
GO:0007568,aging,31,4.64969450101833,175,4.322859352837574e-15,7.500160977173191e-12,3.260939555292692e-13,Down,2,2,FALSE,BP,gad1*
GO:0009605,response to external stimulus,127,59.83252715546504,1980,4.9009625666038136e-15,8.503170053057616e-12,3.5429875221073404e-13,Down,2,2,FALSE,BP,gad1*
GO:0090693,plant organ senescence,28,4.1330617786829595,156,6.541610517615387e-14,1.1349694248062696e-10,4.539877699225079e-12,Down,3,6,FALSE,BP,gad1*
