GO_term,Descrip,DECount,Expect,N,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0042221,response to chemical,23,8.997032396339955,3281,1.1797033722596077e-5,0.004624437219257662,0.002334581435424822,Up,2,2,FALSE,BP,gad1*
GO:0010033,response to organic substance,18,5.821284312917319,2126,1.1911129772575623e-5,0.004669162870849644,0.002334581435424822,Up,3,3,FALSE,BP,gad1*
GO:0050896,response to stimulus,35,18.29783200065947,6661,2.2981740237130082e-5,0.009008842172954992,0.003002947390984997,Up,1,1,FALSE,BP,gad1*
GO:0071310,cellular response to organic substance,12,3.330393207484956,1218,1.0943285256588252e-4,0.04289767820582595,0.009046632832337866,Up,4,4,FALSE,BP,gad1*
GO:0009725,response to hormone,14,4.454331877009315,1627,1.153907249022687e-4,0.04523316416168933,0.009046632832337866,Up,3,4,FALSE,BP,gad1*
GO:0009719,response to endogenous stimulus,14,4.539938999258099,1658,1.4084043592701761e-4,0.0552094508833909,0.009201575147231817,Up,2,2,FALSE,BP,gad1*
GO:0070887,cellular response to chemical stimulus,14,4.8105679663671586,1756,2.561474646229622e-4,0.10040980613220118,0.014344258018885883,Up,3,3,FALSE,BP,gad1*
GO:0032870,cellular response to hormone stimulus,10,2.797419833484461,1023,4.6441650424986115e-4,0.18205126966594556,0.01874453859064565,Up,4,5,FALSE,BP,gad1*
GO:0106310,protein serine kinase activity,8,1.8391723683125876,674,5.143347892825856e-4,0.20161923739877355,0.01874453859064565,Up,NA,NA,NA,NA,gad1*
GO:0106311,protein threonine kinase activity,8,1.8391723683125876,674,5.143347892825856e-4,0.20161923739877355,0.01874453859064565,Up,NA,NA,NA,NA,gad1*
GO:0009734,auxin-activated signaling pathway,5,0.6489572170472344,240,5.259947053497504e-4,0.20618992449710216,0.01874453859064565,Up,4,7,FALSE,BP,gad1*
GO:0071495,cellular response to endogenous stimulus,10,2.885788475805787,1055,5.90379311196622e-4,0.23142868998907581,0.019285724165756316,Up,3,3,FALSE,BP,gad1*
GO:0071365,cellular response to auxin stimulus,5,0.6959030582804385,257,7.165029099230998e-4,0.28086914068985513,0.019676882535636733,Up,5,6,FALSE,BP,gad1*
GO:0022414,reproductive process,14,5.360110460802901,1955,7.561790482364153e-4,0.29642218690867483,0.019676882535636733,Up,1,2,FALSE,BP,gad1*
GO:0000003,reproduction,14,5.384964141455774,1964,7.911574190649725e-4,0.3101337082734692,0.019676882535636733,Up,1,1,FALSE,BP,gad1*
GO:0004674,protein serine/threonine kinase activity,9,2.4715604649245733,904,8.031380626790503e-4,0.3148301205701877,0.019676882535636733,Up,4,6,FALSE,MF,gad1*
GO:0003006,developmental process involved in reproduction,12,4.225125710988377,1542,9.335261146224632e-4,0.36594223693200556,0.021526013937176798,Up,2,3,FALSE,BP,gad1*
GO:0007165,signal transduction,14,5.534086225373011,2018,0.0010313337100565452,0.40428281434216573,0.02155625618451634,Up,2,4,FALSE,BP,gad1*
GO:0009733,response to auxin,6,1.1791690709751876,433,0.001225891115996673,0.4805493174706958,0.02155625618451634,Up,4,5,FALSE,BP,gad1*
GO:0004190,aspartic-type endopeptidase activity,3,0.2043524853680653,77,0.0012623626422458944,0.4948461557603906,0.02155625618451634,Up,6,6,FALSE,MF,gad1*
GO:0070001,aspartic-type peptidase activity,3,0.2043524853680653,77,0.0012623626422458944,0.4948461557603906,0.02155625618451634,Up,5,5,FALSE,MF,gad1*
GO:0023052,signaling,14,5.652831588492292,2061,0.0012644260580749478,0.49565501476537954,0.02155625618451634,Up,1,1,FALSE,BP,gad1*
GO:0009755,hormone-mediated signaling pathway,9,2.6482977495672246,968,0.0012971379311933458,0.5084780690277916,0.02155625618451634,Up,3,6,FALSE,BP,gad1*
GO:0005977,glycogen metabolic process,2,0.04970736130574561,20,0.0013747612362574196,0.5389064046129085,0.02155625618451634,Up,5,7,FALSE,BP,gad1*
GO:0006112,energy reserve metabolic process,2,0.04970736130574561,20,0.0013747612362574196,0.5389064046129085,0.02155625618451634,Up,4,5,FALSE,BP,gad1*
GO:0044238,primary metabolic process,44,30.987016733987303,11265,0.0019378807569802627,0.7596492567362629,0.029217279105240884,Up,2,2,FALSE,BP,gad1*
GO:0008219,cell death,4,0.5523040145082846,204,0.0024357418939122636,0.9548108224136074,0.03536336379309657,Up,2,2,FALSE,BP,gad1*
GO:0060560,developmental growth involved in morphogenesis,5,0.9582474651718738,352,0.002857327487643034,1,0.037441345959489634,Up,3,4,FALSE,BP,gad1*
GO:0008810,cellulase activity,2,0.07456104195861842,29,0.0028910843356388187,1,0.037441345959489634,Up,5,5,TRUE,MF,gad1*
GO:0030170,pyridoxal phosphate binding,3,0.2816750473992251,105,0.003062495292676569,1,0.037441345959489634,Up,4,5,TRUE,MF,gad1*
GO:0070279,vitamin B6 binding,3,0.2816750473992251,105,0.003062495292676569,1,0.037441345959489634,Up,3,4,FALSE,MF,gad1*
GO:0032501,multicellular organismal process,18,8.90866375401863,3244,0.0031533401420484287,1,0.037441345959489634,Up,1,1,FALSE,BP,gad1*
GO:0071704,organic substance metabolic process,45,32.87865798367818,11951,0.0031917106520917,1,0.037441345959489634,Up,2,2,FALSE,BP,gad1*
GO:0048588,developmental cell growth,4,0.5992498557414887,221,0.003247463680159815,1,0.037441345959489634,Up,3,5,FALSE,BP,gad1*
GO:0004672,protein kinase activity,9,3.1232792020443494,1140,0.003913190145798005,1,0.04311530579852038,Up,3,5,FALSE,MF,gad1*
GO:0009686,gibberellin biosynthetic process,2,0.08836864232132553,34,0.0039595688998641165,1,0.04311530579852038,Up,4,9,FALSE,BP,gad1*
GO:0051716,cellular response to stimulus,18,9.25661528315885,3370,0.004167156427933842,1,0.043244909952294006,Up,2,2,FALSE,BP,gad1*
GO:0009958,positive gravitropism,2,0.09113016239386695,35,0.004192108617824419,1,0.043244909952294006,Up,5,5,TRUE,BP,gad1*
GO:0009685,gibberellin metabolic process,2,0.09389168246640837,36,0.004430847266590407,1,0.044535695602652296,Up,3,8,FALSE,BP,gad1*
GO:0045944,positive regulation of transcription by RNA polymerase II,4,0.6820954579177314,251,0.005098427288777283,1,0.04996458743001738,Up,6,12,FALSE,BP,gad1*
GO:0009606,tropism,3,0.34519000906767783,128,0.005332134424180864,1,0.05098040717753411,Up,3,3,FALSE,BP,gad1*
GO:0007154,cell communication,14,6.497856730689968,2367,0.005607485051837215,1,0.051877850360992024,Up,2,2,FALSE,BP,gad1*
GO:0000904,cell morphogenesis involved in differentiation,4,0.7041876184980628,259,0.005690682565108819,1,0.051877850360992024,Up,4,5,FALSE,BP,gad1*
GO:0000902,cell morphogenesis,5,1.1598384304673977,425,0.006320617758654134,1,0.055220877793865406,Up,3,4,FALSE,BP,gad1*
GO:0000976,transcription regulatory region sequence-specific DNA binding,8,2.7725661528315886,1012,0.006480000965606654,1,0.055220877793865406,Up,5,7,FALSE,MF,gad1*
GO:0001067,regulatory region nucleic acid binding,8,2.7725661528315886,1012,0.006480000965606654,1,0.055220877793865406,Up,4,4,FALSE,MF,gad1*
GO:0016049,cell growth,5,1.1764075509026461,431,0.006697028209771464,1,0.05585606506873221,Up,2,2,FALSE,BP,gad1*
GO:0006468,protein phosphorylation,9,3.4463770505316957,1257,0.007334103064254786,1,0.059722502456342,Up,6,7,FALSE,BP,gad1*
GO:1990837,sequence-specific double-stranded DNA binding,8,2.8443656747176655,1038,0.007508937979158415,1,0.059722502456342,Up,6,6,FALSE,MF,gad1*
GO:0044247,cellular polysaccharide catabolic process,2,0.12702992333690544,48,0.007766676728456533,1,0.059722502456342,Up,5,6,FALSE,BP,gad1*
GO:0010817,regulation of hormone levels,4,0.7732256203115984,284,0.007833759434379637,1,0.059722502456342,Up,3,3,FALSE,BP,gad1*
GO:1901700,response to oxygen-containing compound,11,4.8022834061495345,1750,0.007926401031386584,1,0.059722502456342,Up,3,3,FALSE,BP,gad1*
GO:0005886,plasma membrane,18,9.712266095128184,3535,0.008096110395367085,1,0.059722502456342,Up,3,3,FALSE,CC,gad1*
GO:0048608,reproductive structure development,9,3.5126535322726897,1281,0.008257947118847317,1,0.059722502456342,Up,3,6,FALSE,BP,gad1*
GO:0061458,reproductive system development,9,3.520938092490314,1284,0.008379432742599006,1,0.059722502456342,Up,4,5,FALSE,BP,gad1*
GO:0019842,vitamin binding,3,0.4142280108812134,153,0.008707441774003084,1,0.06095209241802159,Up,3,3,FALSE,MF,gad1*
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",9,3.581691534086225,1306,0.009312732878696505,1,0.0631271234639126,Up,4,4,FALSE,MF,gad1*
GO:0009860,pollen tube growth,3,0.4252740911713791,157,0.009340237655374823,1,0.0631271234639126,Up,3,7,FALSE,BP,gad1*
GO:0009826,unidimensional cell growth,4,0.8256945016898855,303,0.009777544436179904,1,0.06489938411390393,Up,3,5,FALSE,BP,gad1*
GO:0008152,metabolic process,46,35.49934053251999,12901,0.010074072788486692,1,0.06489938411390393,Up,1,1,FALSE,BP,gad1*
GO:0048825,cotyledon development,2,0.1463605638446954,55,0.01009913885445954,1,0.06489938411390393,Up,4,10,FALSE,BP,gad1*
GO:0048856,anatomical structure development,17,8.955609595251834,3260,0.010308188342791449,1,0.06505158005935859,Up,2,2,FALSE,BP,gad1*
GO:0009251,glucan catabolic process,2,0.14912208391723683,56,0.010454718223825486,1,0.06505158005935859,Up,6,6,FALSE,BP,gad1*
GO:0016114,terpenoid biosynthetic process,3,0.4473662517517105,165,0.010684856217015603,1,0.06544474432922057,Up,5,7,FALSE,BP,gad1*
GO:0048589,developmental growth,5,1.3614293957629215,498,0.012025629873779135,1,0.07252379862340648,Up,2,2,FALSE,BP,gad1*
GO:0032502,developmental process,17,9.347745445552716,3402,0.012267832630603924,1,0.07286349077570815,Up,1,1,FALSE,BP,gad1*
GO:0009791,post-embryonic development,10,4.46261643722694,1626,0.013105419327928027,1,0.07667648323205652,Up,2,4,FALSE,BP,gad1*
GO:0003690,double-stranded DNA binding,8,3.167463523205012,1155,0.013739106230541238,1,0.0773088640014851,Up,5,5,FALSE,MF,gad1*
GO:0009932,cell tip growth,3,0.4943120929849147,182,0.013898092362113248,1,0.0773088640014851,Up,4,6,FALSE,BP,gad1*
GO:0040007,growth,6,1.9606792515044102,716,0.013899994366101431,1,0.0773088640014851,Up,1,1,FALSE,BP,gad1*
GO:0071944,cell periphery,20,11.612191905036683,4225,0.01400237077577919,1,0.0773088640014851,Up,2,2,FALSE,CC,gad1*
GO:1901606,alpha-amino acid catabolic process,2,0.1822603247877339,68,0.015141258921072591,1,0.08243574301472856,Up,5,8,FALSE,BP,gad1*
GO:0006629,lipid metabolic process,8,3.244786085236172,1183,0.01567293152466291,1,0.08416149531051866,Up,3,3,FALSE,BP,gad1*
GO:0016102,diterpenoid biosynthetic process,2,0.18778336493281675,70,0.015995469901964158,1,0.084732759480675,Up,6,8,FALSE,BP,gad1*
GO:0006721,terpenoid metabolic process,3,0.5246888137828704,193,0.01623952434064022,1,0.08487858055374621,Up,5,6,FALSE,BP,gad1*
GO:0048468,cell development,4,0.9720550655345809,356,0.01677860491905541,1,0.08654227800354897,Up,3,4,FALSE,BP,gad1*
GO:0016101,diterpenoid metabolic process,2,0.19606792515044102,73,0.01731465295308042,1,0.08814732412477305,Up,6,7,FALSE,BP,gad1*
GO:0044275,cellular carbohydrate catabolic process,2,0.19882944522298243,74,0.017764357789505313,1,0.08927728530110363,Up,4,5,FALSE,BP,gad1*
GO:0048367,shoot system development,7,2.6952435908004286,983,0.018254041220689098,1,0.09057701466468514,Up,4,5,FALSE,BP,gad1*
GO:0009617,response to bacterium,5,1.5243590800428655,557,0.01865060116529812,1,0.0913879457099608,Up,3,5,FALSE,BP,gad1*
GO:0030154,cell differentiation,6,2.1070398153491054,769,0.019093635748611955,1,0.09240376806735662,Up,3,3,FALSE,BP,gad1*
GO:0008299,isoprenoid biosynthetic process,3,0.5633500947984502,207,0.019521605564336304,1,0.09332279733194916,Up,4,6,FALSE,BP,gad1*
GO:0009856,pollination,4,1.0631852279284477,389,0.02240449467097261,1,0.1042531789749218,Up,2,3,FALSE,BP,gad1*
GO:0044706,multi-multicellular organism process,4,1.0631852279284477,389,0.02240449467097261,1,0.1042531789749218,Up,2,2,FALSE,BP,gad1*
